Name;About;PersonalityType;Universe;Profile;;;;
Arthur Fleck (Joker);Joker (2019);INFP_A;;Mediator;;;;;
Luna Lovegood;Harry Potter / Wizarding World Films;INFP_A;HARRYPOTTER;Mediator;;;;;
Keanu Reeves;Canadian actor, director, producer, and musician;INFP_A;;Mediator;;;;;
Princess Diana of Wales;Member of the British royal family.;INFP_A;;Mediator;;;;;
Wanda Maximoff Scarlet Witch;Marvel Cinematic Universe : The Heroes;INFP_A;MARVEL;Mediator;;;;;
Luke Skywalker;Star Wars;INFP_A;STARWARS;Mediator;;;;;
Johnny Depp;American actor, producer, and musician;INFP_A;;Mediator;;;;;
Vincent van Gogh;Dutch Post-Impressionist painter;INFP_A;;Mediator;;;;;
Gaara;NARUTO Shippuden;INFP_A;NARUTO;Mediator;;;;;
Ben Solo / Kylo Ren;Star Wars;INFP_A;STARWARS;Mediator;;;;;
Will Byers;Stranger Things (2016);INFP_A;;Mediator;;;;;
Peter Parker;Marvel Comics : Spider-Man;INFP_A;MARVEL;Mediator;;;;;
Bjork;Icelandic singer, songwriter, actress, record producer, and DJ.;INFP_A;;Mediator;;;;;
Nagato;NARUTO Shippuden;INFP_A;NARUTO;Mediator;;;;;
Lara Jean Covey;To All the Boys;INFP_A;;Mediator;;;;;
Elena Gilbert;The Vampire Diaries;INFP_A;;Mediator;;;;;
Butters Stotch;South Park;INFP_A;SOUTHPARK;Mediator;;;;;
Albert Camus;French philosopher, author, and journalist;INFP_A;REALPERSON;Mediator;;;;;
Brandon Stark ;Game Of Thrones GOT;INFP_A;GOT;Mediator;;;;;
Rajesh Raj Koothrappali;The Big Bang Theory;INFP_A;;Mediator;;;;;
Gohan;Dragon Ball Z;INFP_A;;Mediator;;;;;
Oprah Winfrey;American talk show host, television producer, actress, author, and philanthropist;ENFJ_A;REALPERSON;Protagonist;;;;;
Malala Yousafzai;Pakistani activist for female education and the youngest Nobel Prize laureate;ENFJ_A;REALPERSON;Protagonist;;;;;
Maya Angelou;American poet, memoirist, and civil rights activist;ENFJ_A;REALPERSON;Protagonist;;;;;
Daenerys Targaryen;Game Of Thrones GOT;ENFJ_A;GOT;Protagonist;;;;;
Morpheus;The Matrix;ENFJ_A;MATRIX;Protagonist;;;;;
Tanjiro Kamado;Kimetsu no Yaiba (Demon Slayer);ENFJ_A;;Protagonist;;;;;
Neil deGrasse Tyson;American astrophysicist, author, and science communicator;ENFJ_A;REALPERSON;Protagonist;;;;;
Margaery Tyrell;Game Of Thrones GOT;ENFJ_A;GOT;Protagonist;;;;;
Meghan Markle, Duchess of Sussex;Retired American actress who became a member of the British royal family upon her marriage to Prince Harry;ENFJ_A;;Protagonist;;;;;
Minato Namikaze;NARUTO Shippuden;ENFJ_A;NARUTO;Protagonist;;;;;
Padme Amidala;Star Wars;ENFJ_A;STARWARS;Protagonist;;;;;
Diana Prince (Wonder Woman);DC Extended Universe;ENFJ_A;;Protagonist;;;;;
Vinsmoke Sanji;One Piece;ENFJ_A;ONEPIECE;Protagonist;;;;;
Terry Jeffords;Brooklyn Nine Nine;ENFJ_A;;Protagonist;;;;;
Emilia Clarke;English actress;ENFJ_A;REALPERSON;Protagonist;;;;;
Tupac Shakur (2Pac); American rapper and actor;ENFJ_A;REALPERSON;Protagonist;;;;;
Drake;Canadian rapper, singer, songwriter, record producer, actor, and entrepreneur;ENFJ_A;REALPERSON;Protagonist;;;;;
Lily Evans;Harry Potter / Wizarding World Films;ENFJ_A;HARRYPOTTER;Protagonist;;;;;
Shanks;One Piece;ENFJ_A;;Protagonist;;;;;
Hashirama Senju;NARUTO Shippuden;ENFJ_A;NARUTO;Protagonist;;;;;
Mikhail Varshavski (Doctor Mike);Russian-American doctor and celebrity ;ENFJ_A;;Protagonist;;;;;
Jean Milburn;Sex Education;ENFJ_A;;Protagonist;;;;;
Fiona Gallagher;Shameless (US);ENFJ_A;;Protagonist;;;;;
Wendy Testaburger;South Park;ENFJ_A;SOUTHPARK;Protagonist;;;;;
Maggie Rhee;The Walking Dead;ENFJ_A;;Protagonist;;;;;
Morgana Pendragon;Merlin;ENFJ_A;;Protagonist;;;;;
Russell Brand;English comedian, actor, radio host, writer, and activist;ENFP_A;;Campaigner;;;;;
Will Smith;American actor, rapper, and film producer;ENFP_A;;Campaigner;;;;;
Kelly Clarkson;American singer, songwriter, actress, author, and television personality;ENFP_A;;Campaigner;;;;;
Naruto Uzumaki;NARUTO Shippuden;ENFP_A;NARUTO;Campaigner;;;;;
Kanye West;American rapper, entrepreneur and fashion designer;ENFP_A;;Campaigner;;;;;
Jake Peralta;Brooklyn Nine Nine;ENFP_A;;Campaigner;;;;;
Joyce Byers;Stranger Things (2016);ENFP_A;;Campaigner;;;;;
Jim Carrey;Canadian-American actor, comedian, writer, and artist;ENFP_A;REALPERSON;Campaigner;;;;;
Po;Kung Fu Panda;ENFP_A;;Campaigner;;;;;
Peeta Mellark;The Hunger Games;ENFP_A;HUNGER;Campaigner;;;;;
Walt Disney;American entrepreneur, animator, voice actor and film producer;ENFP_A;REALPERSON;Campaigner;;;;;
Tweek Tweak;South Park;ENFP_A;SOUTHPARK;Campaigner;;;;;
Obito Uchiha;NARUTO Shippuden;ENFP_A;NARUTO;Campaigner;;;;;
Ernesto Che Guevara;Argentine Marxist revolutionary, physician, author, guerrilla leader, diplomat and military theorist;ENFP_A;;Campaigner;;;;;
Jiraiya;NARUTO Shippuden;ENFP_A;NARUTO;Campaigner;;;;;
FideI Castro;Cuban politician and revolutionary who governed the Republic of Cuba as Prime Minister;ENFP_A;;Campaigner;;;;;
Peter Pan;Peter Pan;ENFP_A;PeterPan;Campaigner;;;;;
Finn / FN-2187;Star Wars;ENFP_A;STARWARS;Campaigner;;;;;
Floki;Vikings;ENFP_A;Vikings;Campaigner;;;;;
Jackie Chan;Hong Kong martial artist, actor, film director, producer, and stuntman;ENFP_A;REALPERSON;Campaigner;;;;;
Donald Glover;American actor, comedian, writer, director, producer, singer, songwriter, rapper, and DJ;ENFP_A;REALPERSON;Campaigner;;;;;
Post Malone;American rapper, singer, songwriter and record producer;ENFP_A;REALPERSON;Campaigner;;;;;
Chrome;Dr. Stone;ENFP_A;;Campaigner;;;;;
Jack Black;American actor, comedian and musician;ENFP_A;REALPERSON;Campaigner;;;;;
Charlie Chaplin;English comic actor, filmmaker, and composer who rose to fame in the era of silent film;ENFP_A;REALPERSON;Campaigner;;;;;
Sting;English musician and actor;ISTJ_A;REALPERSON;Logistician;;;;;
Denzel Washington;American actor, director, and producer;ISTJ_A;REALPERSON;Logistician;;;;;
Angela Merkel;German politician serving as the chancellor of Germany since 2005;ISTJ_A;REALPERSON;Logistician;;;;;
Anthony Hopkins;Welsh actor, director and film produce;ISTJ_A;REALPERSON;Logistician;;;;;
Condoleezza Rice;American diplomat, political scientist, civil servant, and professor;ISTJ_A;REALPERSON;Logistician;;;;;
Eddard Stark;Game of Thrones;ISTJ_A;GOT;Logistician;;;;;
Hermione Granger;Harry Potter / Wizarding World Films;ISTJ_A;HARRYPOTTER;Logistician;;;;;
Rukia Kuchiki;Bleach;ISTJ_A;;Logistician;;;;;
Thorin Oakenshield;The Hobbit;ISTJ_A;HOBBIT;Logistician;;;;;
Mikasa Ackerman;Shingeki no Kyojin (Attack on Titan);ISTJ_A;;Logistician;;;;;
Sheldon Cooper;The Big Bang Theory;ISTJ_A;;Logistician;;;;;
Giyu Tomioka;Kimetsu no Yaiba (Demon Slayer);ISTJ_A;;Logistician;;;;;
Darth Vade;Star Wars;ISTJ_A;STARWARS;Logistician;;;;;
Sigmund Freud;Austrian neurologist and the founder of psychoanalysis;ISTJ_A;REALPERSON;Logistician;;;;;
Amy Santiago;Brooklyn Nine Nine;ISTJ_A;;Logistician;;;;;
Queen Elizabeth II;Queen of the United Kingdom and the other Commonwealth realms;ISTJ_A;REALPERSON;Logistician;;;;;
Gamora;Marvel Comics Unverse : The Heroes;ISTJ_A;MARVEL;Logistician;;;;;
Jeff Bezos;American technology entrepreneur, investor, and philanthropist;ISTJ_A;REALPERSON;Logistician;;;;;
Minerva McGonagall;Harry Potter / Wizarding World Films;ISTJ_A;HARRYPOTTER;Logistician;;;;;
Castiel;Supernatural;ISTJ_A;;Logistician;;;;;
Geralt of Rivia;The Witcher;ISTJ_A;;Logistician;;;;;
Rick Grimes;The Walking Dead;ISTJ_A;;Logistician;;;;;
Genos;One Punch Man;ISTJ_A;;Logistician;;;;;
Brienne of Tarth;Game of Thrones;ISTJ_A;GOT;Logistician;;;;;
Neji Hyuga;NARUTO Shippuden;ISTJ_A;NARUTO;Logistician;;;;;
Dexter Morgan;Dexter;ISTJ_A;;Logistician;;;;;
Stannis Baratheon;Game of Thrones;ISTJ_A;GOT;Logistician;;;;;
Mace Windu;Star Wars;ISTJ_A;STARWARS;Logistician;;;;;
Beyonce; American singer and actress;ISFJ_A;;Defender;;;;;
Vin Diesel;American actor and filmmaker;ISFJ_A;;Defender;;;;;
Selena Gomez;American singer, actress, and producer;ISFJ_A;;Defender;;;;;
Catelyn Stark;Game of Thrones;ISFJ_A;GOT;Defender;;;;;
Samwise Gamgee;The Lord of the Rings;ISFJ_A;RINGS;Defender;;;;;
Steve Rogers Captain America;Marvel Comics Unverse : The Heroes;ISFJ_A;MARVEL;Defender;;;;;
Historia Reiss (Krista Lenz);Shingeki no Kyojin (Attack on Titan);ISFJ_A;;Defender;;;;;
Hinata Hyuga;NARUTO Shippuden;ISFJ_A;NARUTO;Defender;;;;;
Kim Kardashian;American reality television personality;ISFJ_A;;Defender;;;;;
T'Challa Black Panther;Marvel Comics Unverse : The Heroes;ISFJ_A;MARVEL;Defender;;;;;
Nezuko Kamado;Kimetsu no Yaiba (Demon Slayer);ISFJ_A;;Defender;;;;;
Ed Sheeran;English singer, songwriter, guitarist, record producer, and actor;ISFJ_A;REALPERSON;Defender;;;;;
Leonard Hofstadter;The Big Bang Theory;ISFJ_A;;Defender;;;;;
Ginny Weasley;Harry Potter / Wizarding World Films;ISFJ_A;HARRYPOTTER;Defender;;;;;
Shawn Mendes;Canadian singer and songwriter;ISFJ_A;REALPERSON;Defender;;;;;
C-3PO;Star Wars;ISFJ_A;STARWARS;Defender;;;;;
Neville Longbottom;Harry Potter / Wizarding World Films;ISFJ_A;HARRYPOTTER;Defender;;;;;
Bilbo Baggins;The Hobbit;ISFJ_A;HOBBIT;Defender;;;;;
Clark Kent Superman;DC Extended Universe;ISFJ_A;;Defender;;;;;
Groot;Marvel Comics Unverse : The Heroes;ISFJ_A;MARVEL;Defender;;;;;
Stefan Salvatore;The Vampire Diaries;ISFJ_A;;Defender;;;;;
Jorah Mormont;Game of Thrones;ISFJ_A;GOT;Defender;;;;;
William Turner Jr.;Pirates of the Caribbean;ISFJ_A;PIRATES;Defender;;;;;
Glenn Rhee;The Walking Dead;ISFJ_A;;Defender;;;;;
Davos Seaworth;Game of Thrones;ISFJ_A;GOT;Defender;;;;;
Boromir;The Lord of the Rings;ESTJ_A;RINGS;Executive;;;;;
Draco Malfoy;Harry Potter / Wizarding World Films;ESTJ_A;HARRYPOTTER;Executive;;;;;
Mycroft Holmes;Sherlock Holmes;ESTJ_A;;Executive;;;;;
